Craving Type,Cuisine,Mood Associated,Description,Food Name
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #205",Spicy Ramen
Salty,American,Snack Craving,Fried potato sticks with salt #158,French Fries
Crunchy,Indian,Rainy Day,Fried vegetable fritters #156,Pakora
Warm,Western,Cozy/Winter,Warm milk with chocolate #799,Hot Chocolate
Sweet,Western,Comfort,Rich chocolate dessert #376,Chocolate Cake
Cold,Various,Tired/Hot Day,Coffee served over ice #972,Cold Coffee
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #359,Nachos
Crunchy,Indian,Rainy Day,Fried vegetable fritters #329,Pakora
Crunchy,Indian,Rainy Day,Fried vegetable fritters #484,Pakora
Warm,Western,Cozy/Winter,Warm milk with chocolate #549,Hot Chocolate
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #351",Tomato Soup
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #126,Khichdi
Cold,Various,Tired/Hot Day,Coffee served over ice #221,Cold Coffee
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #621",Lemon Pickle
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #574",Spicy Ramen
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #897",Lemon Pickle
Crunchy,Indian,Rainy Day,Fried vegetable fritters #325,Pakora
Warm,Western,Cozy/Winter,Warm milk with chocolate #135,Hot Chocolate
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #673",Spicy Ramen
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #833",Lemon Pickle
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #484,Chicken 65
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #376,Khichdi
Cold,Various,Tired/Hot Day,Coffee served over ice #204,Cold Coffee
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #194,Nachos
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #929,Chicken 65
Salty,American,Snack Craving,Fried potato sticks with salt #529,French Fries
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #181,Gulab Jamun
Cold,Various,Happy/Chill,Frozen sweet treat #85,Ice Cream
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #366",Spicy Ramen
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #437",Sour Candy
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #132,Gulab Jamun
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #534",Fried Chicken
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #597",Sour Candy
Comfort,Western,Low Mood,"Creamy, cheesy pasta #991",Mac & Cheese
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #765,Nachos
Warm,Western,Cozy/Winter,Warm milk with chocolate #554,Hot Chocolate
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #547",Tomato Soup
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #93",Lemon Pickle
Comfort,Western,Low Mood,"Creamy, cheesy pasta #971",Mac & Cheese
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #186",Spicy Ramen
Salty,American,Snack Craving,Fried potato sticks with salt #459,French Fries
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #711,Chicken 65
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #809,Nachos
Comfort,Western,Low Mood,"Creamy, cheesy pasta #411",Mac & Cheese
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #27,Chicken 65
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #879",Spicy Ramen
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #328,Gulab Jamun
Cold,Various,Tired/Hot Day,Coffee served over ice #992,Cold Coffee
Crunchy,Indian,Rainy Day,Fried vegetable fritters #828,Pakora
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #644,Chicken 65
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #24",Sour Candy
Sweet,Western,Comfort,Rich chocolate dessert #989,Chocolate Cake
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #767",Fried Chicken
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #89,Chicken 65
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #82",Sour Candy
Salty,American,Snack Craving,Fried potato sticks with salt #288,French Fries
Crunchy,Indian,Rainy Day,Fried vegetable fritters #181,Pakora
Cold,Various,Happy/Chill,Frozen sweet treat #85,Ice Cream
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #941,Gulab Jamun
Comfort,Western,Low Mood,"Creamy, cheesy pasta #497",Mac & Cheese
Cold,Various,Happy/Chill,Frozen sweet treat #345,Ice Cream
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #178,Nachos
Cold,Various,Tired/Hot Day,Coffee served over ice #898,Cold Coffee
Comfort,Western,Low Mood,"Creamy, cheesy pasta #234",Mac & Cheese
Comfort,Western,Low Mood,"Creamy, cheesy pasta #999",Mac & Cheese
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #364,Gulab Jamun
Warm,Western,Cozy/Winter,Warm milk with chocolate #39,Hot Chocolate
Comfort,Western,Low Mood,"Creamy, cheesy pasta #723",Mac & Cheese
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #188,Khichdi
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #969,Khichdi
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #195",Fried Chicken
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #176",Tomato Soup
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #406",Tomato Soup
Warm,Western,Cozy/Winter,Warm milk with chocolate #949,Hot Chocolate
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #426,Gulab Jamun
Salty,American,Snack Craving,Fried potato sticks with salt #335,French Fries
Cold,Various,Tired/Hot Day,Coffee served over ice #341,Cold Coffee
Sweet,Western,Comfort,Rich chocolate dessert #567,Chocolate Cake
Comfort,Western,Low Mood,"Creamy, cheesy pasta #440",Mac & Cheese
Salty,American,Snack Craving,Fried potato sticks with salt #350,French Fries
Sweet,Western,Comfort,Rich chocolate dessert #400,Chocolate Cake
Cold,Various,Tired/Hot Day,Coffee served over ice #171,Cold Coffee
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #896",Sour Candy
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #916",Lemon Pickle
Sweet,Western,Comfort,Rich chocolate dessert #877,Chocolate Cake
Warm,Western,Cozy/Winter,Warm milk with chocolate #251,Hot Chocolate
Sweet,Western,Comfort,Rich chocolate dessert #503,Chocolate Cake
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #469",Sour Candy
Comfort,Western,Low Mood,"Creamy, cheesy pasta #734",Mac & Cheese
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #950",Fried Chicken
Warm,Western,Cozy/Winter,Warm milk with chocolate #726,Hot Chocolate
Cold,Various,Tired/Hot Day,Coffee served over ice #941,Cold Coffee
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #394,Gulab Jamun
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #280",Lemon Pickle
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #91",Spicy Ramen
Crunchy,Indian,Rainy Day,Fried vegetable fritters #945,Pakora
Crunchy,Indian,Rainy Day,Fried vegetable fritters #110,Pakora
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #871,Nachos
Cold,Various,Happy/Chill,Frozen sweet treat #404,Ice Cream
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #194",Sour Candy
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #629,Chicken 65
Cold,Various,Tired/Hot Day,Coffee served over ice #662,Cold Coffee
Crunchy,Indian,Rainy Day,Fried vegetable fritters #231,Pakora
Comfort,Western,Low Mood,"Creamy, cheesy pasta #783",Mac & Cheese
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #859,Nachos
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #427",Tomato Soup
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #400,Khichdi
Comfort,Western,Low Mood,"Creamy, cheesy pasta #214",Mac & Cheese
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #205",Fried Chicken
Cold,Various,Tired/Hot Day,Coffee served over ice #134,Cold Coffee
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #424",Tomato Soup
Sweet,Western,Comfort,Rich chocolate dessert #725,Chocolate Cake
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #935",Sour Candy
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #658,Gulab Jamun
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #726",Spicy Ramen
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #51,Khichdi
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #313",Fried Chicken
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #282",Sour Candy
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #949",Spicy Ramen
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #21",Sour Candy
Cold,Various,Happy/Chill,Frozen sweet treat #816,Ice Cream
Cold,Various,Happy/Chill,Frozen sweet treat #792,Ice Cream
Cold,Various,Tired/Hot Day,Coffee served over ice #164,Cold Coffee
Cold,Various,Happy/Chill,Frozen sweet treat #610,Ice Cream
Cold,Various,Tired/Hot Day,Coffee served over ice #453,Cold Coffee
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #219",Fried Chicken
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #145,Nachos
Salty,American,Snack Craving,Fried potato sticks with salt #114,French Fries
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #252,Nachos
Warm,Western,Cozy/Winter,Warm milk with chocolate #394,Hot Chocolate
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #45,Gulab Jamun
Cold,Various,Tired/Hot Day,Coffee served over ice #537,Cold Coffee
Salty,American,Snack Craving,Fried potato sticks with salt #397,French Fries
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #789,Nachos
Crunchy,Indian,Rainy Day,Fried vegetable fritters #758,Pakora
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #642",Spicy Ramen
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #618",Spicy Ramen
Warm,Western,Cozy/Winter,Warm milk with chocolate #344,Hot Chocolate
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #502,Khichdi
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #407,Nachos
Cold,Various,Happy/Chill,Frozen sweet treat #425,Ice Cream
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #287",Spicy Ramen
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #934",Tomato Soup
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #988",Spicy Ramen
Warm,Western,Cozy/Winter,Warm milk with chocolate #784,Hot Chocolate
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #32",Tomato Soup
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #571",Tomato Soup
Warm,Western,Cozy/Winter,Warm milk with chocolate #417,Hot Chocolate
Comfort,Western,Low Mood,"Creamy, cheesy pasta #885",Mac & Cheese
Sweet,Western,Comfort,Rich chocolate dessert #729,Chocolate Cake
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #69,Chicken 65
Cold,Various,Happy/Chill,Frozen sweet treat #623,Ice Cream
Cold,Various,Happy/Chill,Frozen sweet treat #641,Ice Cream
Sweet,Western,Comfort,Rich chocolate dessert #390,Chocolate Cake
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #823",Fried Chicken
Crunchy,Indian,Rainy Day,Fried vegetable fritters #73,Pakora
Warm,Western,Cozy/Winter,Warm milk with chocolate #336,Hot Chocolate
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #855,Nachos
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #623,Chicken 65
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #325,Gulab Jamun
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #43,Chicken 65
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #388,Chicken 65
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #707",Spicy Ramen
Warm,Western,Cozy/Winter,Warm milk with chocolate #355,Hot Chocolate
Cold,Various,Happy/Chill,Frozen sweet treat #615,Ice Cream
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #526",Tomato Soup
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #730,Khichdi
Sweet,Western,Comfort,Rich chocolate dessert #215,Chocolate Cake
Comfort,Western,Low Mood,"Creamy, cheesy pasta #127",Mac & Cheese
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #442",Lemon Pickle
Crunchy,Indian,Rainy Day,Fried vegetable fritters #114,Pakora
Salty,American,Snack Craving,Fried potato sticks with salt #395,French Fries
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #331,Chicken 65
Comfort,Western,Low Mood,"Creamy, cheesy pasta #876",Mac & Cheese
Comfort,Western,Low Mood,"Creamy, cheesy pasta #450",Mac & Cheese
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #809",Spicy Ramen
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #209",Spicy Ramen
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #591",Fried Chicken
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #86,Gulab Jamun
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #439,Gulab Jamun
Comfort,Western,Low Mood,"Creamy, cheesy pasta #297",Mac & Cheese
Cold,Various,Tired/Hot Day,Coffee served over ice #744,Cold Coffee
Comfort,Western,Low Mood,"Creamy, cheesy pasta #873",Mac & Cheese
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #487,Khichdi
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #439",Sour Candy
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #761",Sour Candy
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #676",Fried Chicken
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #172,Khichdi
Sweet,Western,Comfort,Rich chocolate dessert #948,Chocolate Cake
Comfort,Western,Low Mood,"Creamy, cheesy pasta #114",Mac & Cheese
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #556,Nachos
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #859,Khichdi
Cold,Various,Happy/Chill,Frozen sweet treat #342,Ice Cream
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #279,Nachos
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #374",Sour Candy
Comfort,Western,Low Mood,"Creamy, cheesy pasta #857",Mac & Cheese
Sweet,Western,Comfort,Rich chocolate dessert #654,Chocolate Cake
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #416",Spicy Ramen
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #927,Gulab Jamun
Comfort,Western,Low Mood,"Creamy, cheesy pasta #432",Mac & Cheese
Sweet,Western,Comfort,Rich chocolate dessert #669,Chocolate Cake
Cold,Various,Happy/Chill,Frozen sweet treat #523,Ice Cream
Warm,Western,Cozy/Winter,Warm milk with chocolate #241,Hot Chocolate
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #752",Sour Candy
Sweet,Western,Comfort,Rich chocolate dessert #151,Chocolate Cake
Cold,Various,Tired/Hot Day,Coffee served over ice #388,Cold Coffee
Warm,Western,Cozy/Winter,Warm milk with chocolate #623,Hot Chocolate
Warm,Western,Cozy/Winter,Warm milk with chocolate #409,Hot Chocolate
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #717,Khichdi
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #789",Spicy Ramen
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #727,Nachos
Salty,American,Snack Craving,Fried potato sticks with salt #241,French Fries
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #474",Spicy Ramen
Cold,Various,Happy/Chill,Frozen sweet treat #1,Ice Cream
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #470",Fried Chicken
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #913",Fried Chicken
Warm,Western,Cozy/Winter,Warm milk with chocolate #377,Hot Chocolate
Cold,Various,Tired/Hot Day,Coffee served over ice #28,Cold Coffee
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #618",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #451,Ice Cream
Comfort,Western,Low Mood,"Creamy, cheesy pasta #226",Mac & Cheese
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #478,Nachos
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #705",Spicy Ramen
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #105",Tomato Soup
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #111",Spicy Ramen
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #659,Nachos
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #690",Spicy Ramen
Salty,American,Snack Craving,Fried potato sticks with salt #571,French Fries
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #217,Chicken 65
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #932",Sour Candy
Salty,American,Snack Craving,Fried potato sticks with salt #338,French Fries
Cold,Various,Happy/Chill,Frozen sweet treat #8,Ice Cream
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #610,Gulab Jamun
Salty,American,Snack Craving,Fried potato sticks with salt #256,French Fries
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #902",Tomato Soup
Cold,Various,Tired/Hot Day,Coffee served over ice #845,Cold Coffee
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #758,Gulab Jamun
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #361,Chicken 65
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #326,Gulab Jamun
Cold,Various,Tired/Hot Day,Coffee served over ice #590,Cold Coffee
Cold,Various,Tired/Hot Day,Coffee served over ice #130,Cold Coffee
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #934,Nachos
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #173",Lemon Pickle
Cold,Various,Happy/Chill,Frozen sweet treat #483,Ice Cream
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #916",Lemon Pickle
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #915,Gulab Jamun
Cold,Various,Happy/Chill,Frozen sweet treat #733,Ice Cream
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #794,Chicken 65
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #709,Khichdi
Crunchy,Indian,Rainy Day,Fried vegetable fritters #80,Pakora
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #152,Khichdi
Warm,Western,Cozy/Winter,Warm milk with chocolate #508,Hot Chocolate
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #904",Lemon Pickle
Salty,American,Snack Craving,Fried potato sticks with salt #697,French Fries
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #83",Sour Candy
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #835,Chicken 65
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #732,Nachos
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #919,Nachos
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #984",Sour Candy
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #82,Khichdi
Comfort,Western,Low Mood,"Creamy, cheesy pasta #777",Mac & Cheese
Cold,Various,Tired/Hot Day,Coffee served over ice #130,Cold Coffee
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #907,Chicken 65
Crunchy,Indian,Rainy Day,Fried vegetable fritters #660,Pakora
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #303,Khichdi
Sweet,Western,Comfort,Rich chocolate dessert #578,Chocolate Cake
Sweet,Western,Comfort,Rich chocolate dessert #446,Chocolate Cake
